Reaction_Name,Gene_ID,Pathway,Metabolite_ID,name,formula,charge,"formula, neutral",KEGG ID,CAS number   
1-acylglycerol-3-phosphate O-acyltransferase,MG212,Lipid & Cell Membrane Metabolism,coa,Coenzyme A,C21H32N7O16P3S,-4.0,C21H36N7O16P3S,C00010,85-61-0
1-acylglycerol-3-phosphate O-acyltransferase,MG212,Lipid & Cell Membrane Metabolism,1ag3p,1-Acyl-sn-glycerol 3-phosphate,C4H6O7PR,-2.0,C4H8O7PR,C00681,
2-oxoglutarate dehydrogenase,MG271,Carbohydrates and related molecules,succoa,Succinyl-CoA,C25H35N7O19P3S,-5.0,C25H40N7O19P3S,C00091,604-98-8
2-oxoglutarate dehydrogenase,MG271,Carbohydrates and related molecules,akg,2-Oxoglutarate,C5H4O5,-2.0,C5H6O5,C00026,328-50-7
2-oxoglutarate dehydrogenase,MG271,Carbohydrates and related molecules,co2,CO2,CO2,0.0,,C00011,124-38-9
2-oxoglutarate dehydrogenase,MG271,Carbohydrates and related molecules,nad,Nicotinamide adenine dinucleotide,C21H26N7O14P2,-1.0,C21H28N7O14P2,C00003,53-84-9
2-oxoglutarate dehydrogenase,MG271,Carbohydrates and related molecules,coa,Coenzyme A,C21H32N7O16P3S,-4.0,C21H36N7O16P3S,C00010,85-61-0
2-oxoglutarate dehydrogenase,MG271,Carbohydrates and related molecules,nadh,Nicotinamide adenine dinucleotide - reduced,C21H27N7O14P2,-2.0,C21H29N7O14P2,C00004,58-68-4
Alanyl-tRNA synthetase,MG292,Alanine Metabolism,amp,AMP,C10H12N5O7P,-2.0,C10H14N5O7P,C00020,61-19-8
Alanyl-tRNA synthetase,MG292,Alanine Metabolism,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Alanyl-tRNA synthetase,MG292,Alanine Metabolism,trnaala,tRNA(Ala),HOR,0.0,,C01635,
Alanyl-tRNA synthetase,MG292,Alanine Metabolism,ala-L,L-Alanine,C3H7NO2,0.0,C3H7NO2,C00041,56-41-7
Alanyl-tRNA synthetase,MG292,Alanine Metabolism,alatrna,L-Alanyl-tRNA(Ala),C3H6NOR,1.0,,C00886,
Alanyl-tRNA synthetase,MG292,Alanine Metabolism,ppi,Diphosphate,HO7P2,-3.0,H4O7P2,C00013,2466-09-03 00:00:00
arbutin transport via PEP:Pyr PTS,MG041,Transport,arbt,Arbutin,C12H16O7,0.0,,C06186,
arbutin transport via PEP:Pyr PTS,MG041,Transport,pep,Phosphoenolpyruvate,C3H2O6P,-3.0,C3H5O6P,C00074,138-08-9
arbutin transport via PEP:Pyr PTS,MG041,Transport,arbt6p,Arbutin 6-phosphate,C12H15O10P,-2.0,C12H17O10P,C06187,
arbutin transport via PEP:Pyr PTS,MG041,Transport,pyr,Pyruvate,C3H3O3,-1.0,C3H4O3,C00022,127-17-3
arbutin transport via PEP:Pyr PTS,MG429,Transport,arbt,Arbutin,C12H16O7,0.0,,C06186,
arbutin transport via PEP:Pyr PTS,MG429,Transport,pep,Phosphoenolpyruvate,C3H2O6P,-3.0,C3H5O6P,C00074,138-08-9
arbutin transport via PEP:Pyr PTS,MG429,Transport,arbt6p,Arbutin 6-phosphate,C12H15O10P,-2.0,C12H17O10P,C06187,
arbutin transport via PEP:Pyr PTS,MG429,Transport,pyr,Pyruvate,C3H3O3,-1.0,C3H4O3,C00022,127-17-3
Arginyl-tRNA synthetase,MG378,Amino acids and related molecules,arg-L,L-Arginine,C6H15N4O2,1.0,C6H14N4O2,C00062,74-79-3
Arginyl-tRNA synthetase,MG378,Amino acids and related molecules,amp,AMP,C10H12N5O7P,-2.0,C10H14N5O7P,C00020,61-19-8
Arginyl-tRNA synthetase,MG378,Amino acids and related molecules,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Arginyl-tRNA synthetase,MG378,Amino acids and related molecules,trnaarg,tRNA(Arg),HOR,0.0,,C01636,
Arginyl-tRNA synthetase,MG378,Amino acids and related molecules,ppi,Diphosphate,HO7P2,-3.0,H4O7P2,C00013,2466-09-03 00:00:00
Arginyl-tRNA synthetase,MG378,Amino acids and related molecules,argtrna,L-Arginyl-tRNA(Arg),C6H14N4OR,2.0,,C02163,
Asparaginyl-tRNA synthetase,MG113,tRNA Charging,asntrna,L-Asparaginyl-tRNA(Asn),C4H7N2O2R,1.0,,C03402,
Asparaginyl-tRNA synthetase,MG113,tRNA Charging,amp,AMP,C10H12N5O7P,-2.0,C10H14N5O7P,C00020,61-19-8
Asparaginyl-tRNA synthetase,MG113,tRNA Charging,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Asparaginyl-tRNA synthetase,MG113,tRNA Charging,asn-L,L-Asparagine,C4H8N2O3,0.0,C4H8N2O3,C00152,70-47-3
Asparaginyl-tRNA synthetase,MG113,tRNA Charging,trnaasn,tRNA(Asn),HOR,0.0,,C01637,
Asparaginyl-tRNA synthetase,MG113,tRNA Charging,ppi,Diphosphate,HO7P2,-3.0,H4O7P2,C00013,2466-09-03 00:00:00
Aspartyl-tRNA synthetase,MG036,tRNA Charging,amp,AMP,C10H12N5O7P,-2.0,C10H14N5O7P,C00020,61-19-8
Aspartyl-tRNA synthetase,MG036,tRNA Charging,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Aspartyl-tRNA synthetase,MG036,tRNA Charging,trnaasp,tRNA(Asp),HOR,0.0,,C01638,
Aspartyl-tRNA synthetase,MG036,tRNA Charging,asp-L,L-Aspartate,C4H6NO4,-1.0,C4H7NO4,C00049,56-84-8
Aspartyl-tRNA synthetase,MG036,tRNA Charging,ppi,Diphosphate,HO7P2,-3.0,H4O7P2,C00013,2466-09-03 00:00:00
Aspartyl-tRNA synthetase,MG036,tRNA Charging,asptrna,L-Aspartyl-tRNA(Asp),C4H5NO3R,0.0,,C02984,
ATP amine hydrolysis (spontaneous),s0001,Nucleotide Salvage Pathway,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
ATP amine hydrolysis (spontaneous),s0001,Nucleotide Salvage Pathway,itp,ITP,C10H11N4O14P3,-4.0,C10H15N4O14P3,C00081,132-06-9
ATP amine hydrolysis (spontaneous),s0001,Nucleotide Salvage Pathway,nh4,Ammonium,H4N,1.0,H3N,C01342,14798-03-9
ATP amine hydrolysis (spontaneous),s0001,Nucleotide Salvage Pathway,h,H+,H,1.0,,C00080,12408-02-5
ATP amine hydrolysis (spontaneous),s0001,Nucleotide Salvage Pathway,h2o,H2O,H2O,0.0,,C00001,7732-18-5
ATP synthase (four protons for one ATP),MG399,Oxidative Phosphorylation,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
ATP synthase (four protons for one ATP),MG399,Oxidative Phosphorylation,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
ATP synthase (four protons for one ATP),MG399,Oxidative Phosphorylation,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
ATP synthase (four protons for one ATP),MG399,Oxidative Phosphorylation,h,H+,H,1.0,,C00080,12408-02-5
ATP synthase (four protons for one ATP),MG399,Oxidative Phosphorylation,h2o,H2O,H2O,0.0,,C00001,7732-18-5
ATP synthase (four protons for one ATP),MG400,Oxidative Phosphorylation,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
ATP synthase (four protons for one ATP),MG400,Oxidative Phosphorylation,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
ATP synthase (four protons for one ATP),MG400,Oxidative Phosphorylation,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
ATP synthase (four protons for one ATP),MG400,Oxidative Phosphorylation,h,H+,H,1.0,,C00080,12408-02-5
ATP synthase (four protons for one ATP),MG400,Oxidative Phosphorylation,h2o,H2O,H2O,0.0,,C00001,7732-18-5
ATP synthase (four protons for one ATP),MG401,Oxidative Phosphorylation,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
ATP synthase (four protons for one ATP),MG401,Oxidative Phosphorylation,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
ATP synthase (four protons for one ATP),MG401,Oxidative Phosphorylation,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
ATP synthase (four protons for one ATP),MG401,Oxidative Phosphorylation,h,H+,H,1.0,,C00080,12408-02-5
ATP synthase (four protons for one ATP),MG401,Oxidative Phosphorylation,h2o,H2O,H2O,0.0,,C00001,7732-18-5
ATP synthase (four protons for one ATP),MG402,Oxidative Phosphorylation,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
ATP synthase (four protons for one ATP),MG402,Oxidative Phosphorylation,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
ATP synthase (four protons for one ATP),MG402,Oxidative Phosphorylation,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
ATP synthase (four protons for one ATP),MG402,Oxidative Phosphorylation,h,H+,H,1.0,,C00080,12408-02-5
ATP synthase (four protons for one ATP),MG402,Oxidative Phosphorylation,h2o,H2O,H2O,0.0,,C00001,7732-18-5
ATP synthase (four protons for one ATP),MG403,Oxidative Phosphorylation,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
ATP synthase (four protons for one ATP),MG403,Oxidative Phosphorylation,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
ATP synthase (four protons for one ATP),MG403,Oxidative Phosphorylation,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
ATP synthase (four protons for one ATP),MG403,Oxidative Phosphorylation,h,H+,H,1.0,,C00080,12408-02-5
ATP synthase (four protons for one ATP),MG403,Oxidative Phosphorylation,h2o,H2O,H2O,0.0,,C00001,7732-18-5
ATP synthase (four protons for one ATP),MG404,Oxidative Phosphorylation,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
ATP synthase (four protons for one ATP),MG404,Oxidative Phosphorylation,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
ATP synthase (four protons for one ATP),MG404,Oxidative Phosphorylation,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
ATP synthase (four protons for one ATP),MG404,Oxidative Phosphorylation,h,H+,H,1.0,,C00080,12408-02-5
ATP synthase (four protons for one ATP),MG404,Oxidative Phosphorylation,h2o,H2O,H2O,0.0,,C00001,7732-18-5
ATP synthase (four protons for one ATP),MG405,Oxidative Phosphorylation,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
ATP synthase (four protons for one ATP),MG405,Oxidative Phosphorylation,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
ATP synthase (four protons for one ATP),MG405,Oxidative Phosphorylation,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
ATP synthase (four protons for one ATP),MG405,Oxidative Phosphorylation,h,H+,H,1.0,,C00080,12408-02-5
ATP synthase (four protons for one ATP),MG405,Oxidative Phosphorylation,h2o,H2O,H2O,0.0,,C00001,7732-18-5
calcium efflux  via ABC system,MG071,Transport,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
calcium efflux  via ABC system,MG071,Transport,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
calcium efflux  via ABC system,MG071,Transport,h,H+,H,1.0,,C00080,12408-02-5
calcium efflux  via ABC system,MG071,Transport,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
calcium efflux  via ABC system,MG071,Transport,ca2,Calcium,Ca,2.0,,C00076,7440-70-2
calcium efflux  via ABC system,MG071,Transport,h2o,H2O,H2O,0.0,,C00001,7732-18-5
CDPdiacylglycerol:sn-glycerol-3-phosphate 3-phosphatidyltransferase,MG114,Lipid & Cell Membrane Metabolism,glyc3p,Glycerol 3-phosphate,C3H7O6P,-2.0,C3H9O6P,C00093,
CDPdiacylglycerol:sn-glycerol-3-phosphate 3-phosphatidyltransferase,MG114,Lipid & Cell Membrane Metabolism,pglyp,Phosphatidylglycerophosphate,C8H11O13P2R2,-3.0,C8H14O13P2R2,C03892,
CDPdiacylglycerol:sn-glycerol-3-phosphate 3-phosphatidyltransferase,MG114,Lipid & Cell Membrane Metabolism,h,H+,H,1.0,,C00080,12408-02-5
CDPdiacylglycerol:sn-glycerol-3-phosphate 3-phosphatidyltransferase,MG114,Lipid & Cell Membrane Metabolism,cdpdag,CDPdiacylglycerol,C14H17N3O15P2R2,-2.0,C14H19N3O15P2R2,C00269,
CDPdiacylglycerol:sn-glycerol-3-phosphate 3-phosphatidyltransferase,MG114,Lipid & Cell Membrane Metabolism,cmp,CMP,C9H12N3O8P,-2.0,C9H14N3O8P,C00055,
cellobiose transport via PEP:Pyr PTS,MG041,Transport,cellb,cellobiose,C12H22O11,0.0,,C00185,
cellobiose transport via PEP:Pyr PTS,MG041,Transport,pep,Phosphoenolpyruvate,C3H2O6P,-3.0,C3H5O6P,C00074,138-08-9
cellobiose transport via PEP:Pyr PTS,MG041,Transport,6pgg,"6-Phospho-beta-D-glucosyl-(1,4)-D-glucose",C12H21O14P,-2.0,C12H23O14P,C04534,
cellobiose transport via PEP:Pyr PTS,MG041,Transport,pyr,Pyruvate,C3H3O3,-1.0,C3H4O3,C00022,127-17-3
cellobiose transport via PEP:Pyr PTS,MG429,Transport,cellb,cellobiose,C12H22O11,0.0,,C00185,
cellobiose transport via PEP:Pyr PTS,MG429,Transport,pep,Phosphoenolpyruvate,C3H2O6P,-3.0,C3H5O6P,C00074,138-08-9
cellobiose transport via PEP:Pyr PTS,MG429,Transport,6pgg,"6-Phospho-beta-D-glucosyl-(1,4)-D-glucose",C12H21O14P,-2.0,C12H23O14P,C04534,
cellobiose transport via PEP:Pyr PTS,MG429,Transport,pyr,Pyruvate,C3H3O3,-1.0,C3H4O3,C00022,127-17-3
Choline kinase,MG356,Cell Envelope Biosynthesis,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Choline kinase,MG356,Cell Envelope Biosynthesis,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
Choline kinase,MG356,Cell Envelope Biosynthesis,chol,Choline,C5H14NO,1.0,,C00114,123-41-1
Choline kinase,MG356,Cell Envelope Biosynthesis,cholp,Choline phosphate,C5H13NO4P,-1.0,C5H15NO4P,C00588,
Choline kinase,MG356,Cell Envelope Biosynthesis,h,H+,H,1.0,,C00080,12408-02-5
CO2 transporter via diffusion,s0001,Transport,co2,CO2,CO2,0.0,,C00011,124-38-9
Cobalt transport via ABC system,MG179,Transport,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Cobalt transport via ABC system,MG179,Transport,cobalt2,Co2+,Co,2.0,,C00175,7440-48-4
Cobalt transport via ABC system,MG179,Transport,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
Cobalt transport via ABC system,MG179,Transport,h,H+,H,1.0,,C00080,12408-02-5
Cobalt transport via ABC system,MG179,Transport,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
Cobalt transport via ABC system,MG179,Transport,h2o,H2O,H2O,0.0,,C00001,7732-18-5
Cobalt transport via ABC system,MG180,Transport,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Cobalt transport via ABC system,MG180,Transport,cobalt2,Co2+,Co,2.0,,C00175,7440-48-4
Cobalt transport via ABC system,MG180,Transport,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
Cobalt transport via ABC system,MG180,Transport,h,H+,H,1.0,,C00080,12408-02-5
Cobalt transport via ABC system,MG180,Transport,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
Cobalt transport via ABC system,MG180,Transport,h2o,H2O,H2O,0.0,,C00001,7732-18-5
Cobalt transport via ABC system,MG181,Transport,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Cobalt transport via ABC system,MG181,Transport,cobalt2,Co2+,Co,2.0,,C00175,7440-48-4
Cobalt transport via ABC system,MG181,Transport,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
Cobalt transport via ABC system,MG181,Transport,h,H+,H,1.0,,C00080,12408-02-5
Cobalt transport via ABC system,MG181,Transport,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
Cobalt transport via ABC system,MG181,Transport,h2o,H2O,H2O,0.0,,C00001,7732-18-5
Cysteinyl-tRNA synthetase,MG253,tRNA Charging,amp,AMP,C10H12N5O7P,-2.0,C10H14N5O7P,C00020,61-19-8
Cysteinyl-tRNA synthetase,MG253,tRNA Charging,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Cysteinyl-tRNA synthetase,MG253,tRNA Charging,cys-L,L-Cysteine,C3H7NO2S,0.0,C3H7NO2S,C00097,52-90-4
Cysteinyl-tRNA synthetase,MG253,tRNA Charging,trnacys,tRNA(Cys),HOR,0.0,,C01639,
Cysteinyl-tRNA synthetase,MG253,tRNA Charging,cystrna,L-Cysteinyl-tRNA(Cys),C3H6NOSR,1.0,,C03125,
Cysteinyl-tRNA synthetase,MG253,tRNA Charging,ppi,Diphosphate,HO7P2,-3.0,H4O7P2,C00013,2466-09-03 00:00:00
cytidine deaminase,MG052,Purine and Pyrimidine Biosynthesis,uri,Uridine,C9H12N2O6,0.0,,C00299,58-96-8
cytidine deaminase,MG052,Purine and Pyrimidine Biosynthesis,cytd,Cytidine,C9H13N3O5,0.0,,C00475,65-46-3
cytidine deaminase,MG052,Purine and Pyrimidine Biosynthesis,nh4,Ammonium,H4N,1.0,H3N,C01342,14798-03-9
cytidine deaminase,MG052,Purine and Pyrimidine Biosynthesis,h,H+,H,1.0,,C00080,12408-02-5
cytidine deaminase,MG052,Purine and Pyrimidine Biosynthesis,h2o,H2O,H2O,0.0,,C00001,7732-18-5
cytidine kinase (ATP),MG382,Nucleotides and nucleic acids,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
cytidine kinase (ATP),MG382,Nucleotides and nucleic acids,cytd,Cytidine,C9H13N3O5,0.0,,C00475,65-46-3
cytidine kinase (ATP),MG382,Nucleotides and nucleic acids,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
cytidine kinase (ATP),MG382,Nucleotides and nucleic acids,h,H+,H,1.0,,C00080,12408-02-5
cytidine kinase (ATP),MG382,Nucleotides and nucleic acids,cmp,CMP,C9H12N3O8P,-2.0,C9H14N3O8P,C00055,
cytidine kinase (GTP),MG382,Nucleotides and nucleic acids,gdp,GDP,C10H12N5O11P2,-3.0,C10H15N5O11P2,C00035,146-91-8
cytidine kinase (GTP),MG382,Nucleotides and nucleic acids,cytd,Cytidine,C9H13N3O5,0.0,,C00475,65-46-3
cytidine kinase (GTP),MG382,Nucleotides and nucleic acids,gtp,GTP,C10H12N5O14P3,-4.0,C10H16N5O14P3,C00044,1986-01-01 00:00:00
cytidine kinase (GTP),MG382,Nucleotides and nucleic acids,h,H+,H,1.0,,C00080,12408-02-5
cytidine kinase (GTP),MG382,Nucleotides and nucleic acids,cmp,CMP,C9H12N3O8P,-2.0,C9H14N3O8P,C00055,
cytidine kinase (ITP),MG382,Nucleotides and nucleic acids,itp,ITP,C10H11N4O14P3,-4.0,C10H15N4O14P3,C00081,132-06-9
cytidine kinase (ITP),MG382,Nucleotides and nucleic acids,cytd,Cytidine,C9H13N3O5,0.0,,C00475,65-46-3
cytidine kinase (ITP),MG382,Nucleotides and nucleic acids,h,H+,H,1.0,,C00080,12408-02-5
cytidine kinase (ITP),MG382,Nucleotides and nucleic acids,idp,IDP,C10H11N4O11P2,-3.0,C10H14N4O11P2,C00104,1986-04-04 00:00:00
cytidine kinase (ITP),MG382,Nucleotides and nucleic acids,cmp,CMP,C9H12N3O8P,-2.0,C9H14N3O8P,C00055,
cytidylate kinase (CMP),MG330,Nucleotides and nucleic acids,cdp,CDP,C9H12N3O11P2,-3.0,C9H15N3O11P2,C00112,63-38-7
cytidylate kinase (CMP),MG330,Nucleotides and nucleic acids,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
cytidylate kinase (CMP),MG330,Nucleotides and nucleic acids,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
cytidylate kinase (CMP),MG330,Nucleotides and nucleic acids,cmp,CMP,C9H12N3O8P,-2.0,C9H14N3O8P,C00055,
cytidylate kinase (dCMP),MG330,Nucleotides and nucleic acids,dcmp,dCMP,C9H12N3O7P,-2.0,C9H14N3O7P,C00239,1032-65-1
cytidylate kinase (dCMP),MG330,Nucleotides and nucleic acids,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
cytidylate kinase (dCMP),MG330,Nucleotides and nucleic acids,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
cytidylate kinase (dCMP),MG330,Nucleotides and nucleic acids,dcdp,dCDP,C9H12N3O10P2,-3.0,C9H15N3O10P2,C00705,
deoxyadenylate kinase,MG171,Nucleotide Metabolism,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
deoxyadenylate kinase,MG171,Nucleotide Metabolism,dadp,dADP,C10H12N5O9P2,-3.0,C10H15N5O9P2,C00206,
deoxyadenylate kinase,MG171,Nucleotide Metabolism,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
deoxyadenylate kinase,MG171,Nucleotide Metabolism,damp,dAMP,C10H12N5O6P,-2.0,C10H14N5O6P,C00360,653-63-4
dATP amine hydrolysis (spontaneous),s0001,Nucleotide Salvage Pathway,ditp,dITP,C10H11N4O13P3,-4.0,C10H15N4O13P3,C01345,
dATP amine hydrolysis (spontaneous),s0001,Nucleotide Salvage Pathway,nh4,Ammonium,H4N,1.0,H3N,C01342,14798-03-9
dATP amine hydrolysis (spontaneous),s0001,Nucleotide Salvage Pathway,h,H+,H,1.0,,C00080,12408-02-5
dATP amine hydrolysis (spontaneous),s0001,Nucleotide Salvage Pathway,datp,dATP,C10H12N5O12P3,-4.0,C10H16N5O12P3,C00131,1927-31-7
dATP amine hydrolysis (spontaneous),s0001,Nucleotide Salvage Pathway,h2o,H2O,H2O,0.0,,C00001,7732-18-5
deoxycytidine deaminase,MG052,Nucleotide Salvage Pathways,duri,Deoxyuridine,C9H12N2O5,0.0,,C00526,951-78-0
deoxycytidine deaminase,MG052,Nucleotide Salvage Pathways,nh4,Ammonium,H4N,1.0,H3N,C01342,14798-03-9
deoxycytidine deaminase,MG052,Nucleotide Salvage Pathways,dcyt,Deoxycytidine,C9H13N3O4,0.0,,C00881,951-77-9
deoxycytidine deaminase,MG052,Nucleotide Salvage Pathways,h,H+,H,1.0,,C00080,12408-02-5
deoxycytidine deaminase,MG052,Nucleotide Salvage Pathways,h2o,H2O,H2O,0.0,,C00001,7732-18-5
deoxyguanylate kinase (dGMP:ATP),MG107,Nucleotides and nucleic acids,dgdp,dGDP,C10H12N5O10P2,-3.0,,C00361,
deoxyguanylate kinase (dGMP:ATP),MG107,Nucleotides and nucleic acids,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
