Abbreviation,Name,"Equation (note [c] and [e] at the beginning refer to the compartment 
the reaction takes place in, cytosolic and extracellular respectively)",Subsystem,Protein Classification,Locus name
AMPEP10,aminopeptidase,[c] : gly-glu-L + h2o <==> gly + glu-L,Amino acids and related molecules,,
AMPEP11,aminopeptidase,[c] : gly-met-L + h2o <==> gly + met-L,Amino acids and related molecules,,
AMPEP12,aminopeptidase,[c] : h2o + met-L-ala-L <==> met-L + ala-L,Amino acids and related molecules,,
AMPEP13,aminopeptidase,[c] : gly-asp-L + h2o <==> gly + asp-L,Amino acids and related molecules,,
AMPEP14,aminopeptidase,[c] : gly-pro-L + h2o <==> gly + pro-L,Amino acids and related molecules,,
AMPEP2,aminopeptidase,[c] : ala-L-gln-L + h2o <==> ala-L + gln-L,Amino acids and related molecules,,
AMPEP3,aminopeptidase,[c] : ala-L-glu-L + h2o <==> ala-L + glu-L,Amino acids and related molecules,,
AMPEP4,aminopeptidase,[c] : L-alagly + h2o <==> ala-L + gly,Amino acids and related molecules,,
AMPEP5,aminopeptidase,[c] : ala-L-his-L + h2o <==> ala-L + his-L,Amino acids and related molecules,,
AMPEP6,aminopeptidase,[c] : ala-L-leu-L + h2o <==> ala-L + leu-L,Amino acids and related molecules,,
AMPEP7,aminopeptidase,[c] : ala-L-thr-L + h2o <==> ala-L + thr-L,Amino acids and related molecules,,
AMPEP8,aminopeptidase,[c] : gly-asn-L + h2o <==> gly + asn-L,Amino acids and related molecules,,
AMPEP9,aminopeptidase,[c] : gly-gln-L + h2o <==> gly + gln-L,Amino acids and related molecules,,
ARBTpts,arbutin transport via PEP:Pyr PTS,arbt[e] + pep[c] --> arbt6p[c] + pyr[c],Transport,,MG041 and MG429
ARGt2,L-arginine transport in via proton symport,arg-L[e] + h[e] --> arg-L[c] + h[c],Transport,,
ARGTRS,Arginyl-tRNA synthetase,[c] : arg-L + atp + trnaarg --> amp + argtrna + ppi,Amino acids and related molecules,EC-6.1.1.19,MG378
ASNt2,L-asparagine transport in via proton symport,asn-L[e] + h[e] --> asn-L[c] + h[c],Transport,,
ASNTRS,Asparaginyl-tRNA synthetase,[c] : asn-L + atp + trnaasn --> amp + asntrna + ppi,tRNA Charging,EC-6.1.1.22,MG113
ASPTRS,Aspartyl-tRNA synthetase,[c] : asp-L + atp + trnaasp --> amp + asptrna + ppi,tRNA Charging,EC-6.1.1.12,MG036
ATPHs,ATP amine hydrolysis (spontaneous),[c] : atp + h + h2o --> itp + nh4,Nucleotide Salvage Pathway,,s0001
ATPM,ATP maintenance requirement,[c] : atp + h2o --> adp + h + pi,Unassigned,,
ATPS4r,ATP synthase (four protons for one ATP),adp[c] + (4) h[e] + pi[c] <==> atp[c] + (3) h[c] + h2o[c],Oxidative Phosphorylation,"EC-3.6.3.14, ",MG399 and MG400 and MG401 and MG402 and MG403 and MG404 and MG405
CA2abc,calcium efflux  via ABC system,atp[c] + ca2[e] + h2o[c] --> adp[c] + ca2[c] + h[c] + pi[c],Transport,,MG071
CDGPT,CDPdiacylglycerol:sn-glycerol-3-phosphate 3-phosphatidyltransferase,[c] : cdpdag + glyc3p --> cmp + h + pglyp,Lipid & Cell Membrane Metabolism,EC-2.7.8.5,MG114
CELBpts,cellobiose transport via PEP:Pyr PTS,cellb[e] + pep[c] --> 6pgg[c] + pyr[c],Transport,,MG041 and MG429
CHOLK,Choline kinase,[c] : atp + chol --> adp + cholp + h,Cell Envelope Biosynthesis,EC-2.7.1.32,MG356
Clt,chlorideion transport out via diffusion,cl[e] <==> cl[c],Transport,TC-1.A.11,
CO2t,CO2 transporter via diffusion,co2[e] <==> co2[c],Transport,,s0001
Coabc,Cobalt transport via ABC system,atp[c] + cobalt2[e] + h2o[c] --> adp[c] + cobalt2[c] + h[c] + pi[c],Transport,,MG179 and MG180 and MG181
COAt,Coenzyme A  transport,coa[e] --> coa[c],Transport,,
CSNt2,cytosine transport in via proton symport,csn[e] + h[e] --> csn[c] + h[c],Transport,,
Cuabc,Copper transport via ABC system,atp[c] + cu2[e] + h2o[c] --> adp[c] + cu2[c] + h[c] + pi[c],Transport,TC-3.A.3,
CYSTRS,Cysteinyl-tRNA synthetase,[c] : atp + cys-L + trnacys --> amp + cystrna + ppi,tRNA Charging,EC-6.1.1.16,MG253
CYTD,cytidine deaminase,[c] : cytd + h + h2o --> nh4 + uri,Purine and Pyrimidine Biosynthesis,EC-3.5.4.5,MG052
CYTDK1,cytidine kinase (ATP),[c] : atp + cytd --> adp + cmp + h,Nucleotides and nucleic acids,,MG382
CYTDK2,cytidine kinase (GTP),[c] : cytd + gtp --> cmp + gdp + h,Nucleotides and nucleic acids,,MG382
CYTDK3,cytidine kinase (ITP),[c] : cytd + itp --> cmp + h + idp,Nucleotides and nucleic acids,,MG382
CYTK1,cytidylate kinase (CMP),[c] : atp + cmp <==> adp + cdp,Nucleotides and nucleic acids,EC-2.7.4.14,MG330
CYTK2,cytidylate kinase (dCMP),[c] : atp + dcmp <==> adp + dcdp,Nucleotides and nucleic acids,EC-2.7.4.14,MG330
DADK,deoxyadenylate kinase,[c] : atp + damp <==> adp + dadp,Nucleotide Metabolism,EC-2.7.4.11,MG171
DATPHs,dATP amine hydrolysis (spontaneous),[c] : datp + h + h2o --> ditp + nh4,Nucleotide Salvage Pathway,,s0001
DATPt,Dinucleoside transport (dATP),datp[e] --> datp[c],Transport,,
DCYTD,deoxycytidine deaminase,[c] : dcyt + h + h2o --> duri + nh4,Nucleotide Salvage Pathways,EC-3.5.4.14,MG052
DGK1,deoxyguanylate kinase (dGMP:ATP),[c] : atp + dgmp <==> adp + dgdp,Nucleotides and nucleic acids,,MG107
DGTPt,Dinucleoside transport (dGTP),dgtp[e] --> dgtp[c],Transport,,
DHFOR2,dihydrofolate reductase,[c] : dhf + nadp <==> fol + nadph,Vitamins & Cofactor Biosynthesis,EC-1.5.1.3,MG228
DHFOR3,dihydrofolate reductase,[c] : fol + h + (2) nadph <==> (2) nadp + thf,Vitamins & Cofactor Biosynthesis,EC-1.5.1.3,MG228
DHFR,dihydrofolate reductase,[c] : dhf + h + nadph <==> nadp + thf,Vitamins & Cofactor Biosynthesis,EC-1.5.1.3,MG228
DIPEPabc1,Dipeptide transport via ABC system (ala-asp),ala-L-asp-L[e] + atp[c] + h2o[c] --> adp[c] + ala-L-asp-L[c] + h[c] + pi[c],Transport,TC-3.A.1.5,MG077 and MG078 and MG079 and MG080
DIPEPabc10,Dipeptide transport via ABC system (gly-glu),atp[c] + gly-glu-L[e] + h2o[c] --> adp[c] + gly-glu-L[c] + h[c] + pi[c],Transport,TC-3.A.1.5,MG077 and MG078 and MG079 and MG080
DIPEPabc11,Dipeptide transport via ABC system (gly-met),atp[c] + gly-met-L[e] + h2o[c] --> adp[c] + gly-met-L[c] + h[c] + pi[c],Transport,TC-3.A.1.5,MG077 and MG078 and MG079 and MG080
DIPEPabc12,Dipeptide transport via ABC system (met-ala),atp[c] + h2o[c] + met-L-ala-L[e] --> adp[c] + h[c] + met-L-ala-L[c] + pi[c],Transport,TC-3.A.1.5,MG077 and MG078 and MG079 and MG080
DIPEPabc13,Dipeptide transport via ABC system (gly-asp),atp[c] + gly-asp-L[e] + h2o[c] --> adp[c] + gly-asp-L[c] + h[c] + pi[c],Transport,TC-3.A.1.5,MG077 and MG078 and MG079 and MG080
DIPEPabc14,Dipeptide transport via ABC system (gly-pro-L),atp[c] + gly-pro-L[e] + h2o[c] --> adp[c] + gly-pro-L[c] + h[c] + pi[c],Transport,TC-3.A.1.5,MG077 and MG078 and MG079 and MG080
DIPEPabc15,Dipeptide transport via ABC system (cgly),atp[c] + cgly[e] + h2o[c] --> adp[c] + cgly[c] + h[c] + pi[c],Transport,TC-3.A.1.5,MG077 and MG078 and MG079 and MG080
DIPEPabc2,Dipeptide transport via ABC system (ala-gln),ala-L-gln-L[e] + atp[c] + h2o[c] --> adp[c] + ala-L-gln-L[c] + h[c] + pi[c],Transport,TC-3.A.1.5,MG077 and MG078 and MG079 and MG080
DIPEPabc3,Dipeptide transport via ABC system (ala-glu),ala-L-glu-L[e] + atp[c] + h2o[c] --> adp[c] + ala-L-glu-L[c] + h[c] + pi[c],Transport,TC-3.A.1.5,MG077 and MG078 and MG079 and MG080
DIPEPabc4,Dipeptide transport via ABC system (ala-gly),L-alagly[e] + atp[c] + h2o[c] --> L-alagly[c] + adp[c] + h[c] + pi[c],Transport,TC-3.A.1.5,MG077 and MG078 and MG079 and MG080
DIPEPabc5,Dipeptide transport via ABC system (ala-his),ala-L-his-L[e] + atp[c] + h2o[c] --> adp[c] + ala-L-his-L[c] + h[c] + pi[c],Transport,TC-3.A.1.5,MG077 and MG078 and MG079 and MG080
DIPEPabc6,Dipeptide transport via ABC system (ala-leu),ala-L-leu-L[e] + atp[c] + h2o[c] --> adp[c] + ala-L-leu-L[c] + h[c] + pi[c],Transport,TC-3.A.1.5,MG077 and MG078 and MG079 and MG080
DIPEPabc7,Dipeptide transport via ABC system (ala-thr),ala-L-Thr-L[e] + atp[c] + h2o[c] --> adp[c] + ala-L-Thr-L[c] + h[c] + pi[c],Transport,TC-3.A.1.5,MG077 and MG078 and MG079 and MG080
DIPEPabc8,Dipeptide transport via ABC system (gly-asn),atp[c] + gly-asn-L[e] + h2o[c] --> adp[c] + gly-asn-L[c] + h[c] + pi[c],Transport,TC-3.A.1.5,MG077 and MG078 and MG079 and MG080
DIPEPabc9,Dipeptide transport via ABC system (gly-gln),atp[c] + gly-gln-L[e] + h2o[c] --> adp[c] + gly-gln-L[c] + h[c] + pi[c],Transport,TC-3.A.1.5,MG077 and MG078 and MG079 and MG080
DM_C03153,N5-Methyl-L-glutamine drain,C03153[c] -->,,,
DM_pglyp,Phosphatidylglycerophosphate drain,pglyp[c] -->,,,
DRPAr,Deoxyribose-phosphate aldolase,[c] : 2dr5p <==> acald + g3p,Nucleotides and nucleic acids,EC-4.1.2.4,MG050
DTMPK,dTMP kinase,[c] : atp + dtmp <==> adp + dtdp,Nucleotides and nucleic acids,EC-2.7.4.9,MG006
DURIPP,purine-nucleoside phosphatase (deoxyuridine),[c] : duri + pi <==> 2dr1p + ura,Nucleotides and nucleic acids,EC-2.4.2.2,MG051
DXPS,1-deoxy-D-xylulose 5-phosphate synthase,[c] : g3p + h + pyr --> co2 + dxyl5p,Carbohydrates and related molecules,,MG066
ENO,enolase,[c] : 2pg <==> h2o + pep,Central Metabolism,EC-4.2.1.11,MG407
F1PK,fructose-1-phosphate kinase,[c] : atp + f1p --> adp + fdp + h,Carbohydrates and related molecules,EC-2.7.1.56,MG063
FBA,fructose-bisphosphate aldolase,[c] : fdp <==> dhap + g3p,Carbohydrates and related molecules,EC-4.1.2.13,MG023
FBA2,D-Fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase,[c] : f1p <==> dhap + glyald,Carbohydrates and related molecules,EC-4.1.2.13,MG023
FE2abc,iron (II) transport via ABC system,atp[c] + fe2[e] + h2o[c] --> adp[c] + fe2[c] + h[c] + pi[c],Transport,,
FE3abc,iron (III) transport via ABC system,atp[c] + fe3[e] + h2o[c] --> adp[c] + fe3[c] + h[c] + pi[c],Transport,,
FMETTRS,Methionyl-tRNA formyltransferase,[c] : 10fthf + mettrna --> fmettrna + thf,Amino acids and related molecules,EC-2.1.2.9,MG365
FMNATr,FMN adenylyltransferase,[c] : atp + fmn + h <==> fad + ppi,Coenzymes and prosthetic groups,EC-2.7.7.2,MG145
FOLt,folate transport via proton simport,fol[e] + h[e] <==> fol[c] + h[c],Transport,,
FRUpts,D-fructose transport via PEP:Pyr PTS,fru[e] + pep[c] --> f1p[c] + pyr[c],Transport,,MG429 and MG062 and MG041
G1PACT,glucosamine-1-phosphate N-acetyltransferase,[c] : accoa + gam1p --> acgam1p + coa + h,Lipid & Cell Membrane Metabolism,EC-2.3.1.157,
G3PD4,glycerol-3-phosphate dehydrogenase (menaquinone 7),[c] : glyc3p + mqn7 --> dhap + mql7,Carbohydrates and related molecules,EC-1.1.99.5,MG260
G3POA,glycerol-3-phosphate O-acyltransferase,[c] : glyc3p + acoa --> 1ag3p + coa,Lipid & Cell Membrane Metabolism,EC-2.3.1.15,
G6PI,Glucose-6-phosphate isomerase,[c] : g6p <==> g6p-B,Carbohydrates and related molecules,EC-5.3.1.9,MG111
GALabc,D-galactose transport via ABC system,atp[c] + gal[e] + h2o[c] --> adp[c] + gal[c] + h[c] + pi[c],Transport,,MG119
GALU,UTP-glucose-1-phosphate uridylyltransferase,[c] : g1p + h + utp <==> ppi + udpg,Lipid & Cell Membrane Metabolism,EC-2.7.7.9,MG453
GAMpts,D-glucosamine transport via PEP:Pyr PTS,gam[e] + pep[c] --> gam6p[c] + pyr[c],Transport,,MG041 and MG429
GAPD,glyceraldehyde-3-phosphate dehydrogenase (NAD),[c] : g3p + nad + pi <==> 13dpg + h + nadh,Central Metabolism,EC-1.2.1.12,MG301
GHMT,glycine hydroxymethyltransferase,[c] : ser-L + thf <==> gly + h2o + mlthf,Amino Acid Metabolism,EC-2.1.2.1,MG394
GK1,guanylate kinase (GMP:ATP),[c] : atp + gmp <==> adp + gdp,Nucleotides and nucleic acids,EC-2.7.4.8,MG107
GK2,guanylate kinase (GMP:dATP),[c] : datp + gmp <==> dadp + gdp,Nucleotides and nucleic acids,EC-2.7.4.8,MG107
GLCpts,D-glucose transport via PEP:Pyr PTS,glc-D[e] + pep[c] --> g6p[c] + pyr[c],Transport,,MG429 and MG069 and MG041
GLNMT,glutamine-N5 methyltransferase,[c] : gln-L + amet --> ahcys + C03153,,,MG259
GLUDy,glutamate dehydrogenase (NADP),[c] : glu-L + h2o + nadp <==> akg + h + nadph + nh4,Amino acids and related molecules,EC-1.4.1.4,
GLUt6,L-glutamate transport in/out via proton symporter,glu-L[e] + h[e] <==> glu-L[c] + h[c],Transport,TC-2.A.23,
GLUTRS,Glutamyl-tRNA synthetase,[c] : atp + glu-L + trnaglu --> amp + glutrna + ppi,Other function,EC-6.1.1.17,MG462
GLXAT,glutamyl-tRNA(Gln) amidotransferase,[c] : atp + gln-L + glutrna <==> glu-L + adp + glntrna + pi,Amino acids and related molecules,,MG098 and MG099 and MG100
GLYC3Pabc,sn-Glycerol 3-phosphate transport via ABC system,atp[c] + glyc3p[e] + h2o[c] --> adp[c] + glyc3p[c] + h[c] + pi[c],Transport,,MG187 and MG188 and MG189
GLYCt,glycerol transport,glyc[c] <==> glyc[e],Transport,,MG033
GLYK,glycerol kinase,[c] : atp + glyc --> adp + glyc3p + h,Alternate Carbon Metabolism,EC-2.7.1.30,MG038
GLYTRS,Glycyl-tRNA synthetase,[c] : atp + gly + trnagly --> amp + glytrna + ppi,Glycine and Serine Metabolism,EC-6.1.1.14,MG251
GTPHs,GTP amine hydrolysis (spontaneous),[c] : gtp + h + h2o --> nh4 + xtp,Nucleotide Salvage Pathway,,s0001
GTPt,Nucleoside transport (GTP),gtp[e] --> gtp[c],Transport,,
GUAD,guanine deaminase,[c] : gua + h + h2o --> nh4 + xan,Nucleotides and nucleic acids,EC-3.5.4.3,
GUAPRTr,guanine phosphoribosyltransferase,[c] : gua + prpp <==> gmp + ppi,Nucleotides and nucleic acids,,MG458
H2Ot5,H2O transport via diffusion,h2o[e] <==> h2o[c],Transport,,s0001
HISt2,L-histidine transport in via proton symport,h[e] + his-L[e] --> h[c] + his-L[c],Transport,,
HISTRS,Histidyl-tRNA synthetase,[c] : atp + his-L + trnahis --> amp + histrna + ppi,tRNA Charging,EC-6.1.1.21,MG035
HXPRTr,hypoxanthine phosphoribosyltransferase (Hypoxanthine),[c] : hxan + prpp <==> imp + ppi,Nucleotides and nucleic acids,EC-2.4.2.8,MG458
ILEt2,L-isoleucine transport in via proton symport,h[e] + ile-L[e] --> h[c] + ile-L[c],Transport,,
ILETRS,Isoleucyl-tRNA synthetase,[c] : atp + ile-L + trnaile --> amp + iletrna + ppi,"Valine, Leucine, and Isoleucine Metabolism",EC-6.1.1.5,MG345
INS2D,inositol 2-dehydrogenase,[c] : inost + nad --> 2ins + h + nadh,Carbohydrates and related molecules,EC-1.1.1.18,
INSCR,inositol catabolic reactions (lumped),[c] : 2ins + atp --> adp + dhap + (2) h + msa,Carbohydrates and related molecules,,MG023
INSK,inosine kinase,[c] : atp + ins --> adp + h + imp,Nucleotides and nucleic acids,EC-2.7.1.73,
Kt2i,potassium irreversible transport via proton symporter,h[e] + k[e] --> h[c] + k[c],Transport,TC-2.A.37,MG323
LDH_L,L-lactate dehydrogenase,[c] : lac-L + nad <==> h + nadh + pyr,Membrane bioenergetics,EC-1.1.1.27,MG460
LEUt6,L-leucine transport in/out via proton symport,h[e] + leu-L[e] <==> h[c] + leu-L[c],Transport,,
LEUTRS,Leucyl-tRNA synthetase,[c] : atp + leu-L + trnaleu --> amp + leutrna + ppi,"Valine, Leucine, and Isoleucine Metabolism",EC-6.1.1.4,MG266
L-LACt2,L-lactate reversible transport via proton symport,h[e] + lac-L[e] <==> h[c] + lac-L[c],Transport,,
LYSt3,L-lysine transport out via proton antiport,h[e] + lys-L[c] --> h[c] + lys-L[e],Transport,,
LYSTRS,Lysyl-tRNA synthetase,[c] : atp + lys-L + trnalys --> amp + lystrna + ppi,Threonine and Lysine Metabolism,EC-6.1.1.6,MG136
MALTpts,maltose transport via PEP:Pyr PTS,malt[e] + pep[c] --> malt6p[c] + pyr[c],Transport,,MG041 and MG429
MANpts,D-mannose transport via PEP:Pyr PTS,man[e] + pep[c] --> man6p[c] + pyr[c],Transport,,MG041 and MG429
METAT,methionine adenosyltransferase,[c] : atp + h2o + met-L --> amet + pi + ppi,Methionine Metabolism,EC-2.5.1.6,MG047
METSR-R1,L-methionine R-oxide reductase (trdrd),[c] : metox-R + trdrd --> h2o + met-L + trdox,Amino acids and related molecules,,MG448
METSR-R2,L-methionine R-oxide (H2O2),[c] : h2o2 + met-L --> h2o + metox-R,Amino acids and related molecules,,MG448
METSR-S1,L-methionine-S-oxide reductase (trdrd),[c] : metox + trdrd --> h2o + met-L + trdox,Amino acids and related molecules,,MG408
METSR-S2,L-methionine S-oxide reductase (H2O2),[c] : h2o2 + met-L --> h2o + metox,Amino acids and related molecules,,MG408
METt6,L-methionine transport in/out via proton symport,h[e] + met-L[e] <==> h[c] + met-L[c],Transport,TC-2.A.3.8,
METTRS,Methionyl-tRNA synthetase,[c] : atp + met-L + trnamet --> amp + mettrna + ppi,Other function,EC-6.1.1.10,MG021
MG2abc,Magnesium transport,atp[c] + mg2[e] + h2o[c] --> adp[c] + mg2[c] + h[c] + pi[c],Transport,,
MLN7t,Menaquinone transport,mqn7[e] --> mqn7[c],Transport,,
MMSAD3,methylmalonate-semialdehyde dehydrogenase (malonic semialdehyde),[c] : coa + msa + nad --> accoa + co2 + nadh,Amino acids and related molecules,EC-1.2.1.27,
MNabc,manganese transport via ABC system,atp[c] + h2o[c] + mn2[e] --> adp[c] + h[c] + mn2[c] + pi[c],Transport,TC-3.A.1.15,
MNLpts,mannitol transport via PEP:Pyr PTS,mnl[e] + pep[c] --> mnl1p[c] + pyr[c],Transport,,MG041 and MG429
MOBDabc,molybdate transport via ABC system,atp[c] + h2o[c] + mobd[e] --> adp[c] + h[c] + mobd[c] + pi[c],Transport,TC-3.A.1.8,
MTHFC,methenyltetrahydrofolate cyclohydrolase,[c] : h2o + methf <==> 10fthf + h,Coenzymes and prosthetic groups,EC-3.5.4.9,MG013
MTHFD,methylenetetrahydrofolate dehydrogenase (NADP),[c] : mlthf + nadp <==> methf + nadph,Coenzymes and prosthetic groups,EC-1.5.1.5,MG013
NACUP,Nicotinic acid uptake,nac[e] --> nac[c],Transport,,
NADH5,NADH dehydrogenase (Menaquinone 7 & 2 protons),(3) h[c] + mqn7[c] + nadh[c] --> (2) h[e] + mql7[c] + nad[c],Energy Metabolism,"EC-1.6.5.3, ",MG275
NADK,NAD kinase,[c] : atp + nad --> adp + h + nadp,Cofactor and Prosthetic Group Biosynthesis,EC-2.7.1.23,MG128
NADS1,NAD synthase (nh4),[c] : atp + dnad + nh4 --> amp + h + nad + ppi,Vitamins & Cofactor Biosynthesis,EC-6.3.1.5,MG383
NAMNPP,nicotinic acid mononucleotide pyrophosphorylase,[c] : atp + h2o + nac + prpp --> adp + nicrnt + pi + ppi,Nucleotides and nucleic acids,,MG037
NDPK1,nucleoside-diphosphate kinase (ATP:GDP),[c] : atp + gdp <==> adp + gtp,Nucleotides and nucleic acids,EC-2.7.4.6,
NDPK2,nucleoside-diphosphate kinase (ATP:UDP),[c] : atp + udp <==> adp + utp,Nucleotides and nucleic acids,EC-2.7.4.6,
NDPK3,nucleoside-diphosphate kinase (ATP:CDP),[c] : atp + cdp <==> adp + ctp,Nucleotides and nucleic acids,EC-2.7.4.6,
NDPK4,nucleoside-diphosphate kinase (ATP:dTDP),[c] : atp + dtdp <==> adp + dttp,Nucleotides and nucleic acids,EC-2.7.4.6,
NDPK5,nucleoside-diphosphate kinase (ATP:dGDP),[c] : atp + dgdp <==> adp + dgtp,Nucleotides and nucleic acids,EC-2.7.4.6,
NDPK6,nucleoside-diphosphate kinase (ATP:dUDP),[c] : atp + dudp <==> adp + dutp,Nucleotides and nucleic acids,EC-2.7.4.6,
NDPK7,nucleoside-diphosphate kinase (ATP:dCDP),[c] : atp + dcdp <==> adp + dctp,Nucleotides and nucleic acids,EC-2.7.4.6,
NDPK8,nucleoside-diphosphate kinase (ATP:dADP),[c] : atp + dadp <==> adp + datp,Nucleotides and nucleic acids,EC-2.7.4.6,
NDPK9,nucleoside-diphophate kinase (ATP:IDP),[c] : atp + idp <==> adp + itp,Nucleotides and nucleic acids,EC-2.7.4.6,
NH4t,ammonia transport via diffusion,nh4[e] <==> nh4[c],Transport,,s0001
NIabc,nickel transport via ABC system,atp[c] + h2o[c] + ni2[e] --> adp[c] + h[c] + ni2[c] + pi[c],Transport,,MG077 and MG079
NMNATr,nicotinamide-nucleotide adenylyltransferase,[c] : atp + h + nmn <==> nad + ppi,Coenzymes and prosthetic groups,EC-2.7.7.1,MG240
NNATr,nicotinate-nucleotide adenylyltransferase,[c] : atp + h + nicrnt <==> dnad + ppi,Coenzymes and prosthetic groups,EC-2.7.7.18,MG240
OHPHM,2-octaprenyl-6-hydroxyphenol methylase,[c] : 2ohph_5 + amet --> 2omph_5 + ahcys + h,Quinone Biosynthesis,,MG463
PAP,phosphatidic acid phosphatase,[c] : 12dag3p + h2o --> 12dgr + pi,Lipid & Cell Membrane Metabolism,,
PBUTT,phosphate butyryltransferase,[c] : btcoa + pi <==> butpi + coa,Carbohydrates and related molecules,EC-2.3.1.19,MG299
PDH,pyruvate dehydrogenase,[c] : coa + nad + pyr --> accoa + co2 + nadh,Central Metabolism,EC-1.2.1.51,MG273 and MG274
PFK,phosphofructokinase,[c] : atp + f6p --> adp + fdp + h,Glycolysis/Gluconeogenesis,EC-2.7.1.11,MG215
PGAMT,phosphoglucosamine mutase,[c] : gam1p <==> gam6p,Carbohydrates and related molecules,EC-5.4.2.10,
PGI,glucose-6-phosphate isomerase,[c] : g6p <==> f6p,Carbohydrates and related molecules,EC-5.3.1.9,MG111
PGK,phosphoglycerate kinase,[c] : 13dpg + adp <==> 3pg + atp,Carbohydrates and related molecules,EC-2.7.2.3,MG300
PGM,phosphoglycerate mutase,[c] : 3pg <==> 2pg,Carbohydrates and related molecules,EC-5.4.2.1,MG430
PGMT,phosphoglucomutase,[c] : g1p <==> g6p,Carbohydrates and related molecules,EC-5.4.2.2,
PHCYT,phosphatidate cytidylyltransferase,[c] : 12dag3p + ctp + h --> cdpdag + ppi,Lipids,EC-2.7.7.41,
PHEt6,L-phenylalanine transport in/out via proton symport,h[e] + phe-L[e] <==> h[c] + phe-L[c],Transport,TC-2.A.3.1,
PHETRS,Phenylalanyl-tRNA synthetase,[c] : atp + phe-L + trnaphe --> amp + phetrna + ppi,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",EC-6.1.1.20,MG194 and MG195
PIabc,phosphate transport via ABC system,atp[c] + h2o[c] + pi[e] --> adp[c] + h[c] + (2) pi[c],Transport,TC-3.A.1.7,MG410 and MG411
PMANM,phosphomannomutase,[c] : man1p <==> man6p,Carbohydrates and related molecules,EC-5.4.2.8,MG053
PPA,inorganic diphosphatase,[c] : h2o + ppi --> h + (2) pi,Anaplerotic Reactions,EC-3.6.1.1,MG351
PPAK,Propionate kinase,[c] : adp + ppap <==> atp + ppa,Carbohydrates and related molecules,,MG357
PPAt6,propionate transport in/out via proton symport,h[e] + ppa[e] <==> h[c] + ppa[c],Transport,TC-2.A.20,
PROt2,L-proline transport in via proton symport,h[e] + pro-L[e] --> h[c] + pro-L[c],Transport,,
PROTRS,Prolyl-tRNA synthetase,[c] : atp + pro-L + trnapro --> amp + ppi + protrna,Arginine and Proline Metabolism,EC-6.1.1.15,MG283
PRPPS,phosphoribosylpyrophosphate synthetase,[c] : atp + r5p <==> amp + h + prpp,Nucleotides and nucleic acids,EC-2.7.6.1,MG058
PSUDS,pseudouridylate synthase,[c] : r5p + ura --> h2o + psd5p,,EC-4.2.1.70,MG370 and MG209
PTA2r,Phosphate acetyltransferase,[c] : pi + ppcoa <==> coa + ppap,Carbohydrates and related molecules,,MG299
PTAr,phosphotransacetylase,[c] : accoa + pi <==> actp + coa,Carbohydrates and related molecules,EC-2.3.1.8,MG299
PTRCabc,putrescine transport via ABC system,atp[c] + h2o[c] + ptrc[e] --> adp[c] + h[c] + pi[c] + ptrc[c],Transport,TC-3.A.1.11,MG042 and MG043 and MG044
PTRCORNt7,putrescine/ornithine antiporter,orn-L[c] + ptrc[e] <==> orn-L[e] + ptrc[c],Transport,,MG226
